=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: pos                  | Type: IdentifierNode            | Symbol: Symbol{name='pos', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: current_children     | Type: IdentifierNode            | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(trie)    | Type: PathExprSegNode           | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: trie                 | Type: IdentifierNode            | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: nodes                | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(current_node) | Type: PathExprSegNode           | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: current_node         | Type: IdentifierNode            | Symbol: Symbol{name='current_node', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: children             | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(current_children) | Type: PathExprSegNode           | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: current_children     | Type: IdentifierNode            | Symbol: Symbol{name='current_children', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(ch_index) | Type: PathExprSegNode           | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: ch_index             | Type: IdentifierNode            | Symbol: Symbol{name='ch_index', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(trie)    | Type: PathExprSegNode           | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
Node: trie                 | Type: IdentifierNode            | Symbol: Symbol{name='trie', kind=PARAMETER, scopeLevel=1}
