=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(abs_value) | Type: PathExprSegNode           | Symbol: Symbol{name='abs_value', kind=FUNCTION, scopeLevel=0}
Node: abs_value            | Type: IdentifierNode            | Symbol: Symbol{name='abs_value', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(x)       | Type: PathExprSegNode           | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='y', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(y)       | Type: PathExprSegNode           | Symbol: Symbol{name='y', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: y                    | Type: IdentifierNode            | Symbol: Symbol{name='y', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(d)       | Type: PathExprSegNode           | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: d                    | Type: IdentifierNode            | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='gcd_iterative', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(gcd_iterative) | Type: PathExprSegNode           | Symbol: Symbol{name='gcd_iterative', kind=FUNCTION, scopeLevel=0}
Node: gcd_iterative        | Type: IdentifierNode            | Symbol: Symbol{name='gcd_iterative', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='diff', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(diff)    | Type: PathExprSegNode           | Symbol: Symbol{name='diff', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: diff                 | Type: IdentifierNode            | Symbol: Symbol{name='diff', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='iterations', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(iterations) | Type: PathExprSegNode           | Symbol: Symbol{name='iterations', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: iterations           | Type: IdentifierNode            | Symbol: Symbol{name='iterations', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(d)       | Type: PathExprSegNode           | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: d                    | Type: IdentifierNode            | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(d)       | Type: PathExprSegNode           | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: d                    | Type: IdentifierNode            | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(result)  | Type: PathExprSegNode           | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(d)       | Type: PathExprSegNode           | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: d                    | Type: IdentifierNode            | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(result)  | Type: PathExprSegNode           | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: factor               | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(d)       | Type: PathExprSegNode           | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: d                    | Type: IdentifierNode            | Symbol: Symbol{name='d', kind=LOCAL_VARIABLE, scopeLevel=2}
