=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: traverse_list        | Type: IdentifierNode            | Symbol: Symbol{name='traverse_list', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(pool)    | Type: PathExprSegNode           | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: pool                 | Type: IdentifierNode            | Symbol: Symbol{name='pool', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='node1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(node1)   | Type: PathExprSegNode           | Symbol: Symbol{name='node1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: node1                | Type: IdentifierNode            | Symbol: Symbol{name='node1', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(exit)    | Type: PathExprSegNode           | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: exit                 | Type: IdentifierNode            | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}

=== Symbol Debug Summary ===
Total nodes visited: 194
Nodes with symbols: 181
Nodes without symbols: 13

Node type distribution:
  ImplNode: 1
  FieldNode: 4
  StructExprNode: 4
  ConstItemNode: 1
  PathExprSegNode: 53
  IdentifierNode: 90
  FunctionNode: 4
  FieldValNode: 8
  PathExprNode: 27
  StructNode: 2
Type checking errors:
  Type path expression is missing path or name
  Cannot find common type because second type is null at in function 'new' (Self: NodePool) 
  Type path expression is missing path or name
  Expression type is null for CallExprNode('NodePool') at in function 'main' 
  Field 'next' type mismatch: expected i32, got str at in function 'main' 
  Expression type is null for StructExprNode at in function 'main' 
  Expression type is null for CallExprNode('NodePool') at in function 'main' 
  Field 'next' type mismatch: expected i32, got str at in function 'main' 
  Expression type is null for StructExprNode at in function 'main' 
