=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='vec2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(vec2)    | Type: PathExprSegNode           | Symbol: Symbol{name='vec2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: vec2                 | Type: IdentifierNode            | Symbol: Symbol{name='vec2', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(sum)     | Type: PathExprSegNode           | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: sum                  | Type: IdentifierNode            | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='scalar', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(scalar)  | Type: PathExprSegNode           | Symbol: Symbol{name='scalar', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: scalar               | Type: IdentifierNode            | Symbol: Symbol{name='scalar', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: printInt             | Type: IdentifierNode            | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: printInt             | Type: IdentifierNode            | Symbol: Symbol{name='printInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(exit)    | Type: PathExprSegNode           | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}
Node: exit                 | Type: IdentifierNode            | Symbol: Symbol{name='exit', kind=FUNCTION, scopeLevel=0}

=== Symbol Debug Summary ===
Total nodes visited: 133
Nodes with symbols: 125
Nodes without symbols: 8

Node type distribution:
  FieldNode: 2
  StructExprNode: 3
  PathExprSegNode: 35
  IdentifierNode: 64
  FunctionNode: 3
  FieldValNode: 6
  PathExprNode: 19
  StructNode: 1
Type checking errors:
  Left operand of comparison expression is not numeric: Vector2D
  Type of expression node is not set yet.
  Type of expression node is not set yet.
  Type of expression node is not set yet.
