=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(TreeNode) | Type: PathExprSegNode           | Symbol: Symbol{name='TreeNode', kind=STRUCT, scopeLevel=0}
Node: TreeNode             | Type: IdentifierNode            | Symbol: Symbol{name='TreeNode', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='TreeNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(TreeNode) | Type: PathExprSegNode           | Symbol: Symbol{name='TreeNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: TreeNode             | Type: IdentifierNode            | Symbol: Symbol{name='TreeNode', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(parent)     | Type: FieldValNode              | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
Node: parent               | Type: IdentifierNode            | Symbol: Symbol{name='parent', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='parent_id', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(parent_id) | Type: PathExprSegNode           | Symbol: Symbol{name='parent_id', kind=PARAMETER, scopeLevel=1}
Node: parent_id            | Type: IdentifierNode            | Symbol: Symbol{name='parent_id', kind=PARAMETER, scopeLevel=1}
Node: FieldVal(children)   | Type: FieldValNode              | Symbol: Symbol{name='children', kind=FIELD, scopeLevel=0}
Node: children             | Type: IdentifierNode            | Symbol: Symbol{name='children', kind=FIELD, scopeLevel=0}
Node: FieldVal(child_count) | Type: FieldValNode              | Symbol: Symbol{name='child_count', kind=FIELD, scopeLevel=0}
Node: child_count          | Type: IdentifierNode            | Symbol: Symbol{name='child_count', kind=FIELD, scopeLevel=0}
Node: FieldVal(subtree_size) | Type: FieldValNode              | Symbol: Symbol{name='subtree_size', kind=FIELD, scopeLevel=0}
Node: subtree_size         | Type: IdentifierNode            | Symbol: Symbol{name='subtree_size', kind=FIELD, scopeLevel=0}
Node: FieldVal(heavy_child) | Type: FieldValNode              | Symbol: Symbol{name='heavy_child', kind=FIELD, scopeLevel=0}
Node: heavy_child          | Type: IdentifierNode            | Symbol: Symbol{name='heavy_child', kind=FIELD, scopeLevel=0}
Node: FieldVal(chain_id)   | Type: FieldValNode              | Symbol: Symbol{name='chain_id', kind=FIELD, scopeLevel=0}
Node: chain_id             | Type: IdentifierNode            | Symbol: Symbol{name='chain_id', kind=FIELD, scopeLevel=0}
Node: FieldVal(depth)      | Type: FieldValNode              | Symbol: Symbol{name='depth', kind=FIELD, scopeLevel=0}
Node: depth                | Type: IdentifierNode            | Symbol: Symbol{name='depth', kind=FIELD, scopeLevel=0}
