=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(root)    | Type: PathExprSegNode           | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(sum)     | Type: PathExprSegNode           | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: sum                  | Type: IdentifierNode            | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='sum_tree', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(sum_tree) | Type: PathExprSegNode           | Symbol: Symbol{name='sum_tree', kind=FUNCTION, scopeLevel=0}
Node: sum_tree             | Type: IdentifierNode            | Symbol: Symbol{name='sum_tree', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(root)    | Type: PathExprSegNode           | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(sum)     | Type: PathExprSegNode           | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: sum                  | Type: IdentifierNode            | Symbol: Symbol{name='sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: error_sum            | Type: IdentifierNode            | Symbol: Symbol{name='error_sum', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='process_with_shadow_error', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(process_with_shadow_error) | Type: PathExprSegNode           | Symbol: Symbol{name='process_with_shadow_error', kind=FUNCTION, scopeLevel=0}
Node: process_with_shadow_error | Type: IdentifierNode            | Symbol: Symbol{name='process_with_shadow_error', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: root                 | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(printlnInt) | Type: PathExprSegNode           | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
Node: printlnInt           | Type: IdentifierNode            | Symbol: Symbol{name='printlnInt', kind=FUNCTION, scopeLevel=0}
