=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(pm_rand_update) | Type: FunctionNode              | Symbol: Symbol{name='pm_rand_update', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='GRID_HEIGHT_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(GRID_HEIGHT_USIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='GRID_HEIGHT_USIZE', kind=CONSTANT, scopeLevel=0}
Node: GRID_HEIGHT_USIZE    | Type: IdentifierNode            | Symbol: Symbol{name='GRID_HEIGHT_USIZE', kind=CONSTANT, scopeLevel=0}
Node: Field(agents)        | Type: FieldNode                 | Symbol: Symbol{name='agents', kind=FIELD, scopeLevel=0}
Node: agents               | Type: IdentifierNode            | Symbol: Symbol{name='agents', kind=FIELD, scopeLevel=0}
Node: PathExprSeg(Agent)   | Type: PathExprSegNode           | Symbol: Symbol{name='Agent', kind=STRUCT, scopeLevel=0}
Node: Agent                | Type: IdentifierNode            | Symbol: Symbol{name='Agent', kind=STRUCT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NUM_AGENTS_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(NUM_AGENTS_USIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='NUM_AGENTS_USIZE', kind=CONSTANT, scopeLevel=0}
Node: NUM_AGENTS_USIZE     | Type: IdentifierNode            | Symbol: Symbol{name='NUM_AGENTS_USIZE', kind=CONSTANT, scopeLevel=0}
Node: Function(main)       | Type: FunctionNode              | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: main                 | Type: IdentifierNode            | Symbol: Symbol{name='main', kind=FUNCTION, scopeLevel=0}
Node: world                | Type: IdentifierNode            | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(World)   | Type: PathExprSegNode           | Symbol: Symbol{name='World', kind=STRUCT, scopeLevel=0}
Node: World                | Type: IdentifierNode            | Symbol: Symbol{name='World', kind=STRUCT, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='World', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(World)   | Type: PathExprSegNode           | Symbol: Symbol{name='World', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: World                | Type: IdentifierNode            | Symbol: Symbol{name='World', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(grid)       | Type: FieldValNode              | Symbol: Symbol{name='grid', kind=FIELD, scopeLevel=0}
Node: grid                 | Type: IdentifierNode            | Symbol: Symbol{name='grid', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='GRID_WIDTH_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(GRID_WIDTH_USIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='GRID_WIDTH_USIZE', kind=CONSTANT, scopeLevel=0}
Node: GRID_WIDTH_USIZE     | Type: IdentifierNode            | Symbol: Symbol{name='GRID_WIDTH_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='GRID_HEIGHT_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(GRID_HEIGHT_USIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='GRID_HEIGHT_USIZE', kind=CONSTANT, scopeLevel=0}
Node: GRID_HEIGHT_USIZE    | Type: IdentifierNode            | Symbol: Symbol{name='GRID_HEIGHT_USIZE', kind=CONSTANT, scopeLevel=0}
Node: FieldVal(agents)     | Type: FieldValNode              | Symbol: Symbol{name='agents', kind=FIELD, scopeLevel=0}
Node: agents               | Type: IdentifierNode            | Symbol: Symbol{name='agents', kind=FIELD, scopeLevel=0}
Node: StructExpr           | Type: StructExprNode            | Symbol: Symbol{name='Agent', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: PathExprSeg(Agent)   | Type: PathExprSegNode           | Symbol: Symbol{name='Agent', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: Agent                | Type: IdentifierNode            | Symbol: Symbol{name='Agent', kind=STRUCT_CONSTRUCTOR, scopeLevel=0}
Node: FieldVal(id)         | Type: FieldValNode              | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: id                   | Type: IdentifierNode            | Symbol: Symbol{name='id', kind=FIELD, scopeLevel=0}
Node: FieldVal(x)          | Type: FieldValNode              | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=0}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=FIELD, scopeLevel=0}
Node: FieldVal(y)          | Type: FieldValNode              | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=0}
Node: y                    | Type: IdentifierNode            | Symbol: Symbol{name='y', kind=FIELD, scopeLevel=0}
Node: FieldVal(energy)     | Type: FieldValNode              | Symbol: Symbol{name='energy', kind=FIELD, scopeLevel=0}
Node: energy               | Type: IdentifierNode            | Symbol: Symbol{name='energy', kind=FIELD, scopeLevel=0}
Node: FieldVal(target_x)   | Type: FieldValNode              | Symbol: Symbol{name='target_x', kind=FIELD, scopeLevel=0}
Node: target_x             | Type: IdentifierNode            | Symbol: Symbol{name='target_x', kind=FIELD, scopeLevel=0}
Node: FieldVal(target_y)   | Type: FieldValNode              | Symbol: Symbol{name='target_y', kind=FIELD, scopeLevel=0}
Node: target_y             | Type: IdentifierNode            | Symbol: Symbol{name='target_y', kind=FIELD, scopeLevel=0}
Node: FieldVal(active)     | Type: FieldValNode              | Symbol: Symbol{name='active', kind=FIELD, scopeLevel=0}
Node: active               | Type: IdentifierNode            | Symbol: Symbol{name='active', kind=FIELD, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='NUM_AGENTS_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExprSeg(NUM_AGENTS_USIZE) | Type: PathExprSegNode           | Symbol: Symbol{name='NUM_AGENTS_USIZE', kind=CONSTANT, scopeLevel=0}
Node: NUM_AGENTS_USIZE     | Type: IdentifierNode            | Symbol: Symbol{name='NUM_AGENTS_USIZE', kind=CONSTANT, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='initialize_world', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(initialize_world) | Type: PathExprSegNode           | Symbol: Symbol{name='initialize_world', kind=FUNCTION, scopeLevel=0}
Node: initialize_world     | Type: IdentifierNode            | Symbol: Symbol{name='initialize_world', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(world)   | Type: PathExprSegNode           | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: world                | Type: IdentifierNode            | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tick                 | Type: IdentifierNode            | Symbol: Symbol{name='tick', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='update_world', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(update_world) | Type: PathExprSegNode           | Symbol: Symbol{name='update_world', kind=FUNCTION, scopeLevel=0}
Node: update_world         | Type: IdentifierNode            | Symbol: Symbol{name='update_world', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(world)   | Type: PathExprSegNode           | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: world                | Type: IdentifierNode            | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='process_interactions', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(process_interactions) | Type: PathExprSegNode           | Symbol: Symbol{name='process_interactions', kind=FUNCTION, scopeLevel=0}
Node: process_interactions | Type: IdentifierNode            | Symbol: Symbol{name='process_interactions', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(world)   | Type: PathExprSegNode           | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: world                | Type: IdentifierNode            | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tick', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tick)    | Type: PathExprSegNode           | Symbol: Symbol{name='tick', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tick                 | Type: IdentifierNode            | Symbol: Symbol{name='tick', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='run_diagnostics', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(run_diagnostics) | Type: PathExprSegNode           | Symbol: Symbol{name='run_diagnostics', kind=FUNCTION, scopeLevel=0}
Node: run_diagnostics      | Type: IdentifierNode            | Symbol: Symbol{name='run_diagnostics', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(world)   | Type: PathExprSegNode           | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: world                | Type: IdentifierNode            | Symbol: Symbol{name='world', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tick', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(tick)    | Type: PathExprSegNode           | Symbol: Symbol{name='tick', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: tick                 | Type: IdentifierNode            | Symbol: Symbol{name='tick', kind=LOCAL_VARIABLE, scopeLevel=2}
