=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: node_count           | Type: IdentifierNode            | Symbol: Symbol{name='node_count', kind=FIELD, scopeLevel=0}
Node: FieldVal(root)       | Type: FieldValNode              | Symbol: Symbol{name='root', kind=FIELD, scopeLevel=0}
Node: root                 | Type: IdentifierNode            | Symbol: Symbol{name='root', kind=FIELD, scopeLevel=0}
Node: FieldVal(free_list)  | Type: FieldValNode              | Symbol: Symbol{name='free_list', kind=FIELD, scopeLevel=0}
Node: free_list            | Type: IdentifierNode            | Symbol: Symbol{name='free_list', kind=FIELD, scopeLevel=0}
Node: FieldVal(free_count) | Type: FieldValNode              | Symbol: Symbol{name='free_count', kind=FIELD, scopeLevel=0}
Node: free_count           | Type: IdentifierNode            | Symbol: Symbol{name='free_count', kind=FIELD, scopeLevel=0}
Node: FieldVal(tree_height) | Type: FieldValNode              | Symbol: Symbol{name='tree_height', kind=FIELD, scopeLevel=0}
Node: tree_height          | Type: IdentifierNode            | Symbol: Symbol{name='tree_height', kind=FIELD, scopeLevel=0}
Node: FieldVal(node_insertions) | Type: FieldValNode              | Symbol: Symbol{name='node_insertions', kind=FIELD, scopeLevel=0}
Node: node_insertions      | Type: IdentifierNode            | Symbol: Symbol{name='node_insertions', kind=FIELD, scopeLevel=0}
Node: FieldVal(node_deletions) | Type: FieldValNode              | Symbol: Symbol{name='node_deletions', kind=FIELD, scopeLevel=0}
Node: node_deletions       | Type: IdentifierNode            | Symbol: Symbol{name='node_deletions', kind=FIELD, scopeLevel=0}
Node: FieldVal(rotation_count) | Type: FieldValNode              | Symbol: Symbol{name='rotation_count', kind=FIELD, scopeLevel=0}
Node: rotation_count       | Type: IdentifierNode            | Symbol: Symbol{name='rotation_count', kind=FIELD, scopeLevel=0}
Node: FieldVal(search_operations) | Type: FieldValNode              | Symbol: Symbol{name='search_operations', kind=FIELD, scopeLevel=0}
Node: search_operations    | Type: IdentifierNode            | Symbol: Symbol{name='search_operations', kind=FIELD, scopeLevel=0}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(tree)    | Type: PathExprSegNode           | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: tree                 | Type: IdentifierNode            | Symbol: Symbol{name='tree', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: free_list            | Type: IdentifierNode            | Symbol: null
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(usize)   | Type: PathExprSegNode           | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: usize                | Type: IdentifierNode            | Symbol: Symbol{name='usize', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExprSeg(i)       | Type: PathExprSegNode           | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: i                    | Type: IdentifierNode            | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='i', kind=LOCAL_VARIABLE, scopeLevel=3}
